tanggal,jumlah
2015-10-31,1
2015-11-30,0
2015-12-31,0
2016-01-31,0
2016-02-29,1
2016-03-31,0
2016-04-30,0
2016-05-31,2
2016-06-30,1
2016-07-31,1
2016-08-31,1
2016-09-30,1
2016-10-31,0
2016-11-30,2
2016-12-31,1
2017-01-31,3
2017-02-28,1
2017-03-31,0
2017-04-30,1
2017-05-31,3
2017-06-30,0
2017-07-31,1
2017-08-31,2
2017-09-30,3
2017-10-31,0
2017-11-30,0
2017-12-31,1
2018-01-31,6
2018-02-28,2
2018-03-31,2
2018-04-30,0
2018-05-31,0
2018-06-30,0
2018-07-31,0
2018-08-31,0
2018-09-30,0
2018-10-31,1
2018-11-30,3
2018-12-31,2
2019-01-31,6
2019-02-28,0
2019-03-31,1
2019-04-30,0
2019-05-31,0
2019-06-30,2
2019-07-31,1
2019-08-31,2
2019-09-30,0
2019-10-31,0
2019-11-30,11
2019-12-31,10
2020-01-31,12
2020-02-29,10
2020-03-31,11
2020-04-30,5
2020-05-31,0
2020-06-30,25
2020-07-31,23
2020-08-31,18
2020-09-30,19
2020-10-31,12
2020-11-30,13
2020-12-31,8
2021-01-31,12
2021-02-28,27
2021-03-31,26
2021-04-30,19
2021-05-31,43
2021-06-30,65
2021-07-31,31
2021-08-31,32
2021-09-30,24
2021-10-31,14
2021-11-30,14
2021-12-31,0
2022-01-31,3
2022-02-28,4
2022-03-31,4
2022-04-30,1
2022-05-31,7
2022-06-30,11
2022-07-31,3
2022-08-31,4
2022-09-30,2
2022-10-31,2
2022-11-30,3
2022-12-31,3
2023-01-31,3
2023-02-28,1
2023-03-31,3
2023-04-30,2
2023-05-31,8
2023-06-30,4
2023-07-31,4
2023-08-31,5
2023-09-30,1
2023-10-31,4
2023-11-30,1
2023-12-31,4
